Part Number,Package,Description,Category,Assembly Type,Manufacturer,Substitutions,Notes
MIC5205-3.3YM5,sot-23-5,3.3V Regulator,IR,SMD,Micrel,Approval Required,
ERJ-3EKF1500V,0603,150 Ohm 1% 1/10W,Resistor,SMD,Panasonic,Allowed,
ERJ-3EKF4700V,0603,470 Ohm 1% 1/10W,Resistor,SMD,Panasonic,Allowed,
ERJ-3EKF1001V,0603,1k Ohm 1% 1/10W,Resistor,SMD,Panasonic,Allowed,
ERJ-3EKF1304V,0603,1.33 MOhm 1% 1/10W,Resistor,SMD,Panasonic,Allowed,
ERJ-3EKF10R0V,0603,10 Ohm 1% 1/10W,Resistor,SMD,Panasonic,Allowed,
CSRN2010FKR250,2010,.25 Ohm 1% 1W,Resistor,SMD,Stackpole,Allowed,
ERJ-3EKF1002V,0603,10 kOhm 1% 1W,Resistor,SMD,Panasonic,Allowed,
LTST-C230TBKT,1206,Blue Reverse Mount,LED,SMD,Lite-On Inc,Approval Required,
LTST-C171TBKT,0805,Blue,LED,SMD,Lite-On Inc,Approval Required,
MPI2520R1-100-R,1008,10uH,Inductor,SMD,Eaton Bussman,Approval Required,
BLM18TG102TN1D,0603,10uH Ferrite Bead,Inductor,SMD,Murata,Approval Required,
DMG2305UX,sot-23-3,P Channel Mosfet,IC,SMD,Diodes Inc,Approval Required,
FAN5331SX,sot-23-5,Boost Converter,IC,SMD,Fairchild,Not Allowed,
ATTINY48-AUR,tqfp-32,Microcontroller,IC,SMD,Atmel,Not Allowed,
SAMD20E17A,tqfp-32,Microcontroller,IC,SMD,Atmel,Not Allowed,
ATSAMD21E18A-AU,tqfp-32,Microcontroller,IC,SMD,Atmel,Not Allowed,
DRV8848,tssop-16,Motor Driver,IC,SMD,TI,Not Allowed,
PTS810 SJM 250 SMTR LFS,,Tactile Switch,Electromechanical,SMD,C&K,Not Allowed,
PVZ3A103C01R00,,Trim Potentiometer,Electromechanical,SMD,Murata,Approval Required,
BAT54T1G,sod-123,Schottky,Diode,SMD,ON Semi,Approval Required,
BAT60A,sod-323,Schottky,Diode,SMD,ON Semi,Approval Required,
AB26TRQ-32.768KHZ-T,,32.768kHz,Crystal,SMD,Abracon,Approval Required,
SM04B-PASS-TBT(LF)(SN),,4P JST Cable Header,Connector,SMD,JST,Not Allowed,
10118193-0001LF,,Micro USB,Connector,SMD,FCI,Not Allowed,
GRM188R61C106MA73D,,10uF Ceramic Chip 16V 20% X5R,Capacitor,SMD,Murata,Allowed,
C0603C104K5RACTU,,.1uF Ceramic Chip 50V 10% X7R,Capacitor,SMD,Kemet,Allowed,
C0603C180J5GACTU,,18pF Ceramic Chip 50V 5% NP0,Capacitor,SMD,Kemet,Allowed,
EMVA250ADA560MF55G,,56uF Electrolytic 25V 20%,Capacitor,SMD,United Chemi-Con,Allowed,
IR928-6C-F,,Infrafred,LED,PTH,Everlight,Approval Required,
TSOP38338,,IR Receiver,LED,PTH,Vishay,Approval Required,
PREC006SAAN-RC,,6P Vertical Pin Header,Connector,PTH,Sullins,Approval Required,
OSTTE060104,,6P Screw Terminal,Connector,PTH,On-Shore,Approval Required,
M20-9750446,,4P Right Angle Pin Header,Connector,PTH,Harwin,Approval Required,Space off PCB with card stock before soldering
M20-9990346,,3P Vertical Pin Header,Connector,PTH,Harwin,Approval Required,
PPTC182LFBN-RC,,36P Vertical Socket,Connector,PTH,Sullins,Approval Required,
147733-3,,4P Right Angle Socket,Connector,PTH,TE,Approval Required,
https://www.sparkfun.com/products/9032,,Thumb Joystick,Electromechanical,PTH,TBD,Consigned,
TopUp EC12PLRGBSDVBF-D,,Rotary Encoder,Electromechanical,PTH,TBD,Consigned,Requires bending and hand soldering of retention tabs
IRRemote PCB,,,Circuit Board,N/A,,,
Joystick PCB,,,Circuit Board,N/A,,,
Display PCB,,,Circuit Board,N/A,,,
Knob PCB,,,Circuit Board,N/A,,,
Blank Slate PCB,,,Circuit Board,N/A,,,
Motor Driver PCB,,,Circuit Board,N/A,,,
Controller PCB,,,Circuit Board,N/A,,,
Base PCB,,,Circuit Board,N/A,,,
Temp Probe PCB,,,Circuit Board,N/A,,,
SJ5382,,Rubber Foot,Mechanical,Manual,3M,Approval Required,
SPC02SYAN,,Shunt,Electromechanical,Manual,Sullins,Allowed,
HCG-201-165,,Edge Card Guide,Mechanical,Manual,Bivar,Consigned,
HCG-202-165,,Center Card Guide,Mechanical,Manual,Bivar,Consigned,
ER-OLED0.95-2C,,OLED Display,Display,Hot Bar,TBD,Consigned,
NTCLE413E2103F102L,,Thermistor Cable,Cable,Hand Solder,Vishay,Approval Required,